local,pin,area,district,state
Gandu Nagla B.O,245205,Hapur,Ghaziabad,UTTAR PRADESH
Ghori B.O,201310,Dadri,Gautam Buddha Nagar,UTTAR PRADESH
I.E.Sahibabad S.O,201010,Ghaziabad,Ghaziabad,UTTAR PRADESH
Iklahdi B.O,245101,Hapur,Ghaziabad,UTTAR PRADESH
Jakhera Rahmatpur B.O,245205,Hapur,Ghaziabad,UTTAR PRADESH
Jindal Nagar B.O,201015,Ghaziabad,Ghaziabad,UTTAR PRADESH
Kachera Versabad B.O,203207,Dadri,Gautam Buddha Nagar,UTTAR PRADESH
Khera B.O,245304,Hapur,Ghaziabad,UTTAR PRADESH
Mahmoodpur B.O,245101,Hapur,Ghaziabad,UTTAR PRADESH
Mahmoodpur Palwara B.O,245208,Hapur,Ghaziabad,UTTAR PRADESH
Mandola B.O,201102,Ghaziabad,Ghaziabad,UTTAR PRADESH
Nepz Post Office S.O,201305,Noida,Gautam Buddha Nagar,UTTAR PRADESH
Niwari B.O,201204,Modinagar,Ghaziabad,UTTAR PRADESH
Noida Sector 45 S.O,201303,Noida,Gautam Buddha Nagar,UTTAR PRADESH
Pasonda B.O,201005,Pasonda,Ghaziabad,UTTAR PRADESH
Patla B.O,201204,Modinagar,Ghaziabad,UTTAR PRADESH
Raghunathpur B.O,245101,Hapur,Ghaziabad,UTTAR PRADESH
Rori B.O,201201,Hapur,Ghaziabad,UTTAR PRADESH
Salarpur B.O,245205,Hapur,Ghaziabad,UTTAR PRADESH
Salarpur Kalan B.O,201008,Salarpur Kalan,Gautam Buddha Nagar,UTTAR PRADESH
Sarfabad B.O,201307,Dadri,Gautam Buddha Nagar,UTTAR PRADESH
Shastri Nagar S.O,201002,Ghaziabad,Ghaziabad,UTTAR PRADESH
Simbhaoli S.O,245207,Hapur,Ghaziabad,UTTAR PRADESH
Sultanpur B.O,201206,Ghaziabad,Ghaziabad,UTTAR PRADESH
Tronica City S.O,201103,NA,Ghaziabad,UTTAR PRADESH
Vivekanand Nagar S.O,201002,NA,Ghaziabad,UTTAR PRADESH
Alamnagar B.O,245208,Hapur,Ghaziabad,UTTAR PRADESH
Amity University S.O,201313,Dadri,Gautam Buddha Nagar,UTTAR PRADESH
Baraula B.O,201304,Dadri,Gautam Buddha Nagar,UTTAR PRADESH
Doohri B.O,245304,Hapur,Ghaziabad,UTTAR PRADESH
Govindpuram S.O,201013,Ghaziabad,Ghaziabad,UTTAR PRADESH
Haidarpur B.O,245205,Hapur,Ghaziabad,UTTAR PRADESH
Harmukhpuri S.O,201201,Modinagar,Ghaziabad,UTTAR PRADESH
Hindon Air Field S.O,201004,Ghaziabad,Ghaziabad,UTTAR PRADESH
Jaoli B.O,201102,Ghaziabad,Ghaziabad,UTTAR PRADESH
Kamla Nehru Nagar S.O,201002,Ghaziabad,Ghaziabad,UTTAR PRADESH
Kandaula B.O,245301,Dhaulana,Ghaziabad,UTTAR PRADESH
Khatana B.O,203207,Dadri,Gautam Buddha Nagar,UTTAR PRADESH
Morta B.O,201003,Morta,Ghaziabad,UTTAR PRADESH
Mubarikpur B.O,245207,Hapur,Ghaziabad,UTTAR PRADESH
Nali Husainpur B.O,245201,Hapur,Ghaziabad,UTTAR PRADESH
Nan B.O,245101,Hapur,Ghaziabad,UTTAR PRADESH
Nanpur B.O,245205,Hapur,Ghaziabad,UTTAR PRADESH
Nekpur B.O,201206,Ghaziabad,Ghaziabad,UTTAR PRADESH
Noida Sector 16 S.O,201301,Noida,Gautam Buddha Nagar,UTTAR PRADESH
Noida Sector 37 S.O,201303,Noida,Gautam Buddha Nagar,UTTAR PRADESH
Phuldehra B.O,245207,Hapur,Ghaziabad,UTTAR PRADESH
Police Line Harsaon S.O,201002,Ghaziabad,Ghaziabad,UTTAR PRADESH
Samaipur B.O,245304,Hapur,Ghaziabad,UTTAR PRADESH
Tibra B.O,201204,Modinagar,Ghaziabad,UTTAR PRADESH
Udai Rampur Nagla B.O,201015,Ghaziabad,Ghaziabad,UTTAR PRADESH
Ain B.O,226005,Lucknow,Lucknow,UTTAR PRADESH
Alamnagar B.O,226017,Lucknow,Lucknow,UTTAR PRADESH
Barwalia B.O,226301,Mohanlalganj,Lucknow,UTTAR PRADESH
Bhagwantpur B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Bhatgaon B.O,226401,Lucknow,Lucknow,UTTAR PRADESH
CPMG Campus S.O,226001,NA,Lucknow,UTTAR PRADESH
Darul Safa S.O,226001,Lucknow,Lucknow,UTTAR PRADESH
Daulatpur B.O,226103,Malihabad,Lucknow,UTTAR PRADESH
Deoti B.O,226301,Mohanlalganj,Lucknow,UTTAR PRADESH
Diguria B.O,226020,Lucknow,Lucknow,UTTAR PRADESH
Dona B.O,226101,Lucknow,Lucknow,UTTAR PRADESH
FFTC Indaurabagh S.O,226202,NA,Lucknow,UTTAR PRADESH
Ganesh Ganj S.O (Lucknow),226018,Lucknow,Lucknow,UTTAR PRADESH
Ghaila B.O,226020,Lucknow,Lucknow,UTTAR PRADESH
Gopramau B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Hal S.O (Lucknow),226016,Lucknow,Lucknow,UTTAR PRADESH
Harauni B.O,226401,Lucknow,Lucknow,UTTAR PRADESH
Husainabad S.O,226003,Lucknow,Lucknow,UTTAR PRADESH
Industria Area Chinhat S.O,226019,Lucknow,Lucknow,UTTAR PRADESH
Itaunja S.O,226203,NA,Lucknow,UTTAR PRADESH
Jabrauli B.O,226301,Mohanlalganj,Lucknow,UTTAR PRADESH
Kasimpur Biruha B.O,226501,Mohanlalganj,Lucknow,UTTAR PRADESH
Lonikatra S.O,226020,Lucknow,Lucknow,UTTAR PRADESH
Lucknow Chowk H.O,226003,Lucknow,Lucknow,UTTAR PRADESH
Madiyaon B.O,226021,Lucknow,Lucknow,UTTAR PRADESH
Malha B.O,226101,Lucknow,Lucknow,UTTAR PRADESH
Malhaur B.O,226028,Lucknow,Lucknow,UTTAR PRADESH
Nadan Mahal B.O,226003,Lucknow,Lucknow,UTTAR PRADESH
Naubasta S.O,226003,Lucknow,Lucknow,UTTAR PRADESH
Rahimnagar Padiyana B.O,226401,Lucknow,Lucknow,UTTAR PRADESH
Saadatganj S.O (Lucknow),226003,Lucknow,Lucknow,UTTAR PRADESH
Sahijana B.O,226103,NA,Lucknow,UTTAR PRADESH
Sathwara B.O,226501,Mohanlalganj,Lucknow,UTTAR PRADESH
Sunderbagh S.O,226018,Lucknow,Lucknow,UTTAR PRADESH
Triveni Nagar S.O,226020,Lucknow,Lucknow,UTTAR PRADESH
U P Governer Camp S.O,226027,NA,Lucknow,UTTAR PRADESH
Utrathia B.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Yahiaganj S.O,226003,Lucknow,Lucknow,UTTAR PRADESH
32 Bn PAC  S.O,226023,Lucknow,Lucknow,UTTAR PRADESH
Aishbagh S.O,226004,Lucknow,Lucknow,UTTAR PRADESH
Amraigaon B.O,226028,Lucknow,Lucknow,UTTAR PRADESH
Asti B.O,226201,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
Barawan Kalan B.O,226101,Lucknow,Lucknow,UTTAR PRADESH
Dayalpur B.O,226302,Mohanlalganj,Lucknow,UTTAR PRADESH
Ghazipur S.O (Lucknow),226016,Lucknow,Lucknow,UTTAR PRADESH
Goila B.O,226028,Lucknow,Lucknow,UTTAR PRADESH
Golaganj S.O,226018,Lucknow,Lucknow,UTTAR PRADESH
Gomtinagar S.O,226010,Lucknow,Lucknow,UTTAR PRADESH
Indira Nagar S.O (Lucknow),226016,NA,Lucknow,UTTAR PRADESH
Juggaur B.O,226028,Lucknow,Lucknow,UTTAR PRADESH
Kalyanpur S.O (Lucknow),226022,Lucknow,Lucknow,UTTAR PRADESH
Karora B.O,226303,Mohanlalganj,Lucknow,UTTAR PRADESH
Kathwara B.O,226202,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
Mastipur B.O,226302,Mohanlalganj,Lucknow,UTTAR PRADESH
Mawai Khurd B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Narain Nagar S.O,226016,Lucknow,Lucknow,UTTAR PRADESH
Paharpur B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Raitha B.O,226202,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
Rajajipuram S.O,226017,Lucknow,Lucknow,UTTAR PRADESH
Rasoolpur Tikaniamau B.O,226501,Mohanlalganj,Lucknow,UTTAR PRADESH
Sujanpura S.O,226005,Lucknow,Lucknow,UTTAR PRADESH
Suspen B.O,226103,Malihabad,Lucknow,UTTAR PRADESH
Umrawal B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Utrawan B.O,226302,Mohanlalganj,Lucknow,UTTAR PRADESH
Vrinda Van Colony S.O,226029,Lucknow,Lucknow,UTTAR PRADESH
A P Sabha S.O,226001,Lucknow,Lucknow,UTTAR PRADESH
Aliganj S.O (Lucknow),226024,Lucknow,Lucknow,UTTAR PRADESH
Amausi B.O,226008,Lucknow,Lucknow,UTTAR PRADESH
Amberganj B.O,226003,Lucknow,Lucknow,UTTAR PRADESH
Anaura Kalan B.O,226028,Lucknow,Lucknow,UTTAR PRADESH
Atari B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Aurawan B.O,226401,Lucknow,Lucknow,UTTAR PRADESH
Avas Vikas Colony S.O (Lucknow),226017,Lucknow,Lucknow,UTTAR PRADESH
B R A University S.O,226025,Lucknow,Lucknow,UTTAR PRADESH
Bahargaon B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Bani B.O,226401,Lucknow,Lucknow,UTTAR PRADESH
Behta B.O,226026,Lucknow,Lucknow,UTTAR PRADESH
Benti B.O,226401,Lucknow,Lucknow,UTTAR PRADESH
C E School B.O,226008,Lucknow,Lucknow,UTTAR PRADESH
Chandganj S.O,226024,Lucknow,Lucknow,UTTAR PRADESH
Cimap S.O,226015,Lucknow,Lucknow,UTTAR PRADESH
D M Road S.O,226020,Lucknow,Lucknow,UTTAR PRADESH
D S Bazar S.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Garhi Chunauti B.O,226401,Lucknow,Lucknow,UTTAR PRADESH
Guramba B.O,226026,Lucknow,Lucknow,UTTAR PRADESH
Hasnain Market S.O,226003,Lucknow,Lucknow,UTTAR PRADESH
Indara B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Kamlabad Badauli B.O,226201,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
Kathwara B.O,226201,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
Khantari B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Kharika B.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Kumharawan. B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Lalbagh S.O (Lucknow),226001,Lucknow,Lucknow,UTTAR PRADESH
Locomotive W Shop S.O,226005,Lucknow,Lucknow,UTTAR PRADESH
Mill Road S.O,226004,Lucknow,Lucknow,UTTAR PRADESH
Nagram S.O,226303,NA,Lucknow,UTTAR PRADESH
Naya Gaon S.O (Lucknow),226018,Lucknow,Lucknow,UTTAR PRADESH
Nigohan S.O,226302,NA,Lucknow,UTTAR PRADESH
Niralanagar S.O,226020,Lucknow,Lucknow,UTTAR PRADESH
Pateona B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Rahimabad S.O,226103,Malihabad,Lucknow,UTTAR PRADESH
Rasoolpur Saadat B.O,226028,Lucknow,Lucknow,UTTAR PRADESH
Sairpur B.O,226201,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
Salempur B.O,226501,Mohanlalganj,Lucknow,UTTAR PRADESH
Samesi B.O,226303,Mohanlalganj,Lucknow,UTTAR PRADESH
Sant Market S.O,226006,Lucknow,Lucknow,UTTAR PRADESH
Sarai Damu B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Sarvoday Nagar S.O,226016,Lucknow,Lucknow,UTTAR PRADESH
Sec-B Indira Nagar S.O,226016,NA,Lucknow,UTTAR PRADESH
Singar Nagar S.O,226005,Lucknow,Lucknow,UTTAR PRADESH
Sushant Golf City S.O,226030,Lucknow,Lucknow,UTTAR PRADESH
Vishwas Khand S.O,226010,Lucknow,Lucknow,UTTAR PRADESH
Alambagh S.O,226005,Lucknow,Lucknow,UTTAR PRADESH
Amaniganj B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Amethi B.O,226501,NA,Lucknow,UTTAR PRADESH
Aminabad Park S.O,226018,Lucknow,Lucknow,UTTAR PRADESH
Antagarhi B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Ateswa B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Baragaon B.O,226101,Lucknow,Lucknow,UTTAR PRADESH
Bhadeswa B.O,226301,Mohanlalganj,Lucknow,UTTAR PRADESH
Bhadwana B.O,226102,Malihabad,Lucknow,UTTAR PRADESH
Bharwara B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Bhatgaon B.O,226005,Lucknow,Lucknow,UTTAR PRADESH
C B Lines S.O,226002,Lucknow,Lucknow,UTTAR PRADESH
C&w  Work Shop S.O,226005,Lucknow,Lucknow,UTTAR PRADESH
Dilkusha S.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Gahdon B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Gaunda B.O,226103,Malihabad,Lucknow,UTTAR PRADESH
Jagdishpur B.O,226201,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
Jankipuram Extension S.O,226031,NA,Lucknow,UTTAR PRADESH
Jankipuram S.O,226021,Lucknow,Lucknow,UTTAR PRADESH
Kasmandi Khurd B.O,226102,Malihabad,Lucknow,UTTAR PRADESH
Kotwa B.O,226201,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
Kusmaura B.O,226301,Mohanlalganj,Lucknow,UTTAR PRADESH
L D A Colony S.O,226012,Lucknow,Lucknow,UTTAR PRADESH
Laulai B.O,226028,Lucknow,Lucknow,UTTAR PRADESH
M N Colony S.O,226006,Lucknow,Lucknow,UTTAR PRADESH
Mahmoodnagar B.O,226102,Malihabad,Lucknow,UTTAR PRADESH
Mall S.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Manasnagar S.O,226023,Lucknow,Lucknow,UTTAR PRADESH
Mawai Kalan B.O,226103,Malihabad,Lucknow,UTTAR PRADESH
Meeraknagar B.O,226302,Mohanlalganj,Lucknow,UTTAR PRADESH
New Hyderabad S.O,226007,Lucknow,Lucknow,UTTAR PRADESH
Rehman Khera B.O,226101,Lucknow,Lucknow,UTTAR PRADESH
Sarai Gudauli B.O,226301,Mohanlalganj,Lucknow,UTTAR PRADESH
Saraura B.O,226201,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
Sarfraj S.O,226003,Lucknow,Lucknow,UTTAR PRADESH
Sec-d Indiranagar S.O,226016,Lucknow,Lucknow,UTTAR PRADESH
Shivaji Marg S.O (Lucknow),226018,Lucknow,Lucknow,UTTAR PRADESH
A N L Colony S.O,226004,Lucknow,Lucknow,UTTAR PRADESH
Akariakalan B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Amausi Ad S.O,226009,Lucknow,Lucknow,UTTAR PRADESH
Anandnagar S.O (Lucknow),226005,Lucknow,Lucknow,UTTAR PRADESH
Arjunganj B.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Bahrauli B.O,226303,Mohanlalganj,Lucknow,UTTAR PRADESH
Bakkash B.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Chakganjaria B.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Charbagh S.O,226004,Lucknow,Lucknow,UTTAR PRADESH
Daliganj S.O,226020,Lucknow,Lucknow,UTTAR PRADESH
Dilawarnagar B.O,226102,Malihabad,Lucknow,UTTAR PRADESH
Gosainganj S.O (Lucknow),226501,NA,Lucknow,UTTAR PRADESH
Gurdwara S.O,226004,Lucknow,Lucknow,UTTAR PRADESH
Indiranagar Sec-14 S.O,226016,Lucknow,Lucknow,UTTAR PRADESH
Indiranagar Sec-18 S.O,226016,Lucknow,Lucknow,UTTAR PRADESH
Kasmandi Kalan B.O,226102,Malihabad,Lucknow,UTTAR PRADESH
Keoli B.O,226303,Mohanlalganj,Lucknow,UTTAR PRADESH
Kharsara B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Khushalganj B.O,226101,Lucknow,Lucknow,UTTAR PRADESH
Laulai B.O,226010,NA,Lucknow,UTTAR PRADESH
Malihabad S.O,226102,Malihabad,Lucknow,UTTAR PRADESH
Mawai Padiyana B.O,226008,Lucknow,Lucknow,UTTAR PRADESH
Military Hospital S.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Munnu Khera B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Nadwa S.O,226007,Lucknow,Lucknow,UTTAR PRADESH
Navinmandi S.O,226020,Lucknow,Lucknow,UTTAR PRADESH
Neewan B.O,226401,Lucknow,Lucknow,UTTAR PRADESH
Nilmatha B.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Raghunathpur B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Raja Bazar S.O,226003,Lucknow,Lucknow,UTTAR PRADESH
Rajauli B.O,226026,Lucknow,Lucknow,UTTAR PRADESH
Rajendranagar S.O (Lucknow),226004,Lucknow,Lucknow,UTTAR PRADESH
Sanatan Dharam Vidya Peeth S.O,226026,Lucknow,Lucknow,UTTAR PRADESH
Secretariat S.O (Lucknow),226001,Lucknow,Lucknow,UTTAR PRADESH
Sgpgi S.O,226014,Lucknow,Lucknow,UTTAR PRADESH
Singhrawa B.O,226102,NA,Lucknow,UTTAR PRADESH
Thari B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Topkhana Bazar S.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Usarana B.O,226203,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
Adarsh Nagar S.O (Lucknow),226005,Lucknow,Lucknow,UTTAR PRADESH
Aliganj Extension S.O,226024,Lucknow,Lucknow,UTTAR PRADESH
Bahroo B.O,226101,Lucknow,Lucknow,UTTAR PRADESH
Barauna B.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Beerpur B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Chaupatiyan B.O,226003,Lucknow,Lucknow,UTTAR PRADESH
Gokhley Marg S.O,226001,Lucknow,Lucknow,UTTAR PRADESH
Gomtinagar Vistar S.O,226010,NA,Lucknow,UTTAR PRADESH
H C Bench S.O,226001,Lucknow,Lucknow,UTTAR PRADESH
H E School S.O,226006,Lucknow,Lucknow,UTTAR PRADESH
Hasnapur B.O,226501,Mohanlalganj,Lucknow,UTTAR PRADESH
Jamkhanwa B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Kakori S.O,226101,Lucknow,Lucknow,UTTAR PRADESH
Kakrabad B.O,226102,Malihabad,Lucknow,UTTAR PRADESH
Katauli B.O,226102,Malihabad,Lucknow,UTTAR PRADESH
Mahigawan B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Mati B.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Medical College S.O (Lucknow),226003,Lucknow,Lucknow,UTTAR PRADESH
Pandariba S.O,226004,Lucknow,Lucknow,UTTAR PRADESH
Purseni B.O,226301,Mohanlalganj,Lucknow,UTTAR PRADESH
R G C Mill S.O,226017,Lucknow,Lucknow,UTTAR PRADESH
Sarai Mali Khan S.O,226003,Lucknow,Lucknow,UTTAR PRADESH
T. Tib B.O,226003,Lucknow,Lucknow,UTTAR PRADESH
Victoriaganj S.O,226003,Lucknow,Lucknow,UTTAR PRADESH
Vikas Nagar S.O,226022,Lucknow,Lucknow,UTTAR PRADESH
Wazirganj S.O (Lucknow),226018,Lucknow,Lucknow,UTTAR PRADESH
Aashiana S.O,226012,Lucknow,Lucknow,UTTAR PRADESH
Adampur Janubi B.O,226303,Mohanlalganj,Lucknow,UTTAR PRADESH
Amethia Salempur B.O,226101,Lucknow,Lucknow,UTTAR PRADESH
Basha B.O,226026,Lucknow,Lucknow,UTTAR PRADESH
Bazargaron B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Bhilampur B.O,226301,Mohanlalganj,Lucknow,UTTAR PRADESH
Bibipur B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Bijnaur B.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Blunt Square S.O,226004,Lucknow,Lucknow,UTTAR PRADESH
Canal Colony S.O,226001,Lucknow,Lucknow,UTTAR PRADESH
Chandrawal B.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Chinhat S.O,226028,NA,Lucknow,UTTAR PRADESH
Distt. Jail S.O (Lucknow),226005,Lucknow,Lucknow,UTTAR PRADESH
Iim Mubarakpur S.O,226013,Lucknow,Lucknow,UTTAR PRADESH
Ind.Area Sarojininagar S.O,226008,Lucknow,Lucknow,UTTAR PRADESH
Indiranagar Sec-21 S.O,226016,Lucknow,Lucknow,UTTAR PRADESH
Jaitikhera B.O,226301,Mohanlalganj,Lucknow,UTTAR PRADESH
Kahla B.O,226102,Malihabad,Lucknow,UTTAR PRADESH
Kankaha B.O,226301,Mohanlalganj,Lucknow,UTTAR PRADESH
Khalispur B.O,226101,Lucknow,Lucknow,UTTAR PRADESH
Maharishi Vidya Mandir S.O,226020,Lucknow,Lucknow,UTTAR PRADESH
Manaknagar S.O,226011,Lucknow,Lucknow,UTTAR PRADESH
Narosa B.O,226203,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
New Ganeshganj S.O,226018,Lucknow,Lucknow,UTTAR PRADESH
Piparsand B.O,226008,Lucknow,Lucknow,UTTAR PRADESH
R P Line S.O,226007,Lucknow,Lucknow,UTTAR PRADESH
Rahim Nagar Padiana B.O,226005,Lucknow,Lucknow,UTTAR PRADESH
Rusena B.O,226103,Malihabad,Lucknow,UTTAR PRADESH
Sadrauna B.O,226008,Lucknow,Lucknow,UTTAR PRADESH
Salehnagar B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Sarojini Nagar S.O,226008,Lucknow,Lucknow,UTTAR PRADESH
Shia Lines S.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Singhamau B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Thakurganj B.O,226003,Lucknow,Lucknow,UTTAR PRADESH
Thawar B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Vineet Khand S.O,226010,Lucknow,Lucknow,UTTAR PRADESH
Ain B.O,226401,Lucknow,Lucknow,UTTAR PRADESH
Arjunpur B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Arya Nagar S.O (Lucknow),226004,Lucknow,Lucknow,UTTAR PRADESH
Badiyan B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Bakshi Ka Talab S.O,226201,NA,Lucknow,UTTAR PRADESH
Balrampur Hospital S.O,226018,Lucknow,Lucknow,UTTAR PRADESH
Banthra S.O,226401,Lucknow,Lucknow,UTTAR PRADESH
Barha S.O,226005,Lucknow,Lucknow,UTTAR PRADESH
Batha Sabauli B.O,226021,Lucknow,Lucknow,UTTAR PRADESH
Baurumau B.O,226201,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
Begariamau B.O,226501,Mohanlalganj,Lucknow,UTTAR PRADESH
Benti B.O,226005,Lucknow,Lucknow,UTTAR PRADESH
Bhadrukh B.O,226002,Lucknow,Lucknow,UTTAR PRADESH
Bhauli B.O,226201,Bakshi Ka Talab,Lucknow,UTTAR PRADESH
Chatauni B.O,226303,Mohanlalganj,Lucknow,UTTAR PRADESH
Dhendhemau B.O,226102,Malihabad,Lucknow,UTTAR PRADESH
Gohramau B.O,226101,Lucknow,Lucknow,UTTAR PRADESH
Hasanpur Keoli B.O,226002,Lucknow,Lucknow,UTTAR PRADESH
IIT Dasauli S.O,226026,Lucknow,Lucknow,UTTAR PRADESH
Industrial Area S.O (Lucknow),226009,Lucknow,Lucknow,UTTAR PRADESH
Int Gaon B.O,226008,Lucknow,Lucknow,UTTAR PRADESH
Jamolia B.O,226103,Malihabad,Lucknow,UTTAR PRADESH
Jawahar Bhawan S.O,226001,Lucknow,Lucknow,UTTAR PRADESH
Jindaur B.O,226103,Malihabad,Lucknow,UTTAR PRADESH
Kalli Pacchim B.O,226301,Mohanlalganj,Lucknow,UTTAR PRADESH
Mahanagar S.O,226006,Lucknow,Lucknow,UTTAR PRADESH
Mahona B.O,226203,Bakshi Ka Ta,Lucknow,UTTAR PRADESH
Malesemau B.O,226010,Lucknow,Lucknow,UTTAR PRADESH
Mansoor Nagar S.O,226003,Lucknow,Lucknow,UTTAR PRADESH
Maunda B.O,226008,Lucknow,Lucknow,UTTAR PRADESH
Mehmoodpur B.O,226501,Mohanlalganj,Lucknow,UTTAR PRADESH
Mohanlalganj S.O,226301,NA,Lucknow,UTTAR PRADESH
Mohari Khurd B.O,226301,Mohanlalganj,Lucknow,UTTAR PRADESH
Nabipanah B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Pawanpuri S.O (Lucknow),226005,Lucknow,Lucknow,UTTAR PRADESH
R A College S.O,226004,Lucknow,Lucknow,UTTAR PRADESH
R B Colony S.O,226018,Lucknow,Lucknow,UTTAR PRADESH
Ranipara B.O,226104,Malihabad,Lucknow,UTTAR PRADESH
Sisendi B.O,226301,Mohanlalganj,Lucknow,UTTAR PRADESH
Tirwa B.O,226401,Lucknow,Lucknow,UTTAR PRADESH
Lucknow G.P.O. ,226001,Lucknow ,Lucknow,UTTAR PRADESH
Ambara Paschim B.O,229206,Lalganj,Raebareli,UTTAR PRADESH
Barkot B.O,229309,Tiloi,Raebareli,UTTAR PRADESH
Bedaru B.O,229308,Mrg,Raebareli,UTTAR PRADESH
Beoli B.O,229127,Salon,Raebareli,UTTAR PRADESH
Bijemau B.O,229201,Lalganj,Raebareli,UTTAR PRADESH
Binnao B.O,229307,Salon,Raebareli,UTTAR PRADESH
Chilaula B.O,229203,Dalmau,Raebareli,UTTAR PRADESH
Chiluli B.O,229309,Tiloi,Raebareli,UTTAR PRADESH
Gangehra B.O,229406,Unchahar **,Raebareli,UTTAR PRADESH
Gegason B.O,229216,Lalganj,Raebareli,UTTAR PRADESH
Gopalpur B.O,229124,Salon,Raebareli,UTTAR PRADESH
Hardaspur B.O,229316,Rbl,Raebareli,UTTAR PRADESH
Hathnasa B.O,229212,Lalganj,Raebareli,UTTAR PRADESH
Hazipur B.O,229130,Rbl,Raebareli,UTTAR PRADESH
Itaurabujurg S.O,229401,Unchahar,Raebareli,UTTAR PRADESH
Jais S.O,229305,Salon,Raebareli,UTTAR PRADESH
Jalalpur Dhai B.O,229204,Dalmau,Raebareli,UTTAR PRADESH
Jamori B.O,229402,Unchahar,Raebareli,UTTAR PRADESH
Johwasarki B.O,229303,Rbl,Raebareli,UTTAR PRADESH
Kannawan B.O,229301,Maharajganj,Raebareli,UTTAR PRADESH
Khairahni Pahargarh B.O,229401,Unchahar,Raebareli,UTTAR PRADESH
Khekharua B.O,229126,Tiloi,Raebareli,UTTAR PRADESH
Korihar B.O,229130,Rbl,Raebareli,UTTAR PRADESH
Kutumra B.O,229309,Tiloi,Raebareli,UTTAR PRADESH
Lachhipur B.O,229211,Lalganj,Raebareli,UTTAR PRADESH
Lalganj Bazar B.O,229206,Lalganj ,Raebareli,UTTAR PRADESH
Lauli B.O,229802,Tiloi,Raebareli,UTTAR PRADESH
Laxmiganj B.O,229401,Unchahar **,Raebareli,UTTAR PRADESH
Lodhwari B.O,229310,Salon,Raebareli,UTTAR PRADESH
Mahrajganj S.O (Raebareli),229306,Mahrajganj,Raebareli,UTTAR PRADESH
